"Sl. No.","Divisions","Overhead(OH) Added for 2019-20","OH Dismantled in 2019-20","OH Cables Total","Underground(UG) Added for 2019-20","UG Dismantled in 2019-20","UG Total","Ariel Bundled(AB) Cables Added for 2019-20","AB Cables Dismantled in 2019-20","AB Cables Total","Total Cable Length (km)"
"1","Indiranagar","0","0","459.89","12.38","0","551.055","0","0","70.1","1081.045"
"2","Whitefield","0.995","0","5.335","25.36","0","78.67","0","0","0.21","84.215"
"3","Shivajinagar","0","1","308.76","97.708","0","535.738","0","0","44.81","889.308"
"4","Vidhana Soudha","0","0","7.36","6.725","0","480.395","0","0","0.8","488.555"
"","East Circle","0.995","1","781.345","142.173","0","1645.858","0","0","115.92","2543.123"
"5","Jayanagar","0.18","9.4","558.04","16.82","0","722.04","2.25","0","42.68","1322.76"
"6","Koramangala","0","0","315.62","27.37","0","520.9","0","0","21.49","858.01"
"7","HSR","1.72","234.94","1277.76","269.67","0","828.4","0","0.05","57.75","2163.91"
"","South Circle ","1.9","244.34","2151.42","313.86","0","2071.34","2.25","0.05","121.92","4344.68"
"8","Kengeri","29.87","0.45","1024.794","5.195","0","110.771","0.02","0","245.902","1381.467"
"9","Rajarajeshwari nagar","0.488","0","183.826","15.084","0.02","340.74","0","0","64.375","588.941"
"10","Rajajinagar","1.11","0","210.556","7.106","0","346.207","0","0","8.375","565.138"
"","West Circle","31.468","0.45","1419.176","27.385","0.02","797.718","0.02","0","318.652","2535.546"
"11","Hebbala","7.29","0","639.65","19.05","0","390.01","0.03","0","40.22","1069.88"
"12","Malleshwaram","0","0","18.92","23.29","0","388.503","0","0","19.56","426.983"
"13","Peenya","0.18","102.26","180.71","210.565","0","353.465","0","0","13.35","547.525"
"14","Jalahalli","9.965","0","422.295","4.42","0","76.8","0","0","22.5","521.595"
"","North Circle ","17.435","102.26","1261.575","257.325","0","1208.778","0.03","0","95.63","2565.983"
"15","Nelamangala","239.367","0","7400.647","0.31","0","59.05","0","0","1.02","7460.717"
"16","Hosakote","439.28","0","5468.5","25.59","0","555.998","12.71","0","16.92","6041.418"
"","Blore Rural Circle ","678.647","0","12869.147","25.9","0","615.048","12.71","0","17.94","13502.135"
"17","Ramnagara ","734.96","0","4383.077","9.52","0","96.66","0","0","57.72","4537.457"
"18","Magadi","45.31","0","402.912","1.4","0","21.497","0","0","0.05","424.459"
"19","Kanakpura","42.35","0","4223.551","0","0","100.31","0","0","158.35","4482.211"
"20","Chandapura","61.007","0","2577.3158","23.512","0","182.061","0.635","0","20.785","2780.1618"
"","Ramnagar Circle","883.627","0","11586.8558","34.432","0","400.528","0.635","0","236.905","12224.2888"
"21","Kolar ","228.41","0","4372.29","1.8","0","9.4","0","0","0","4381.69"
"22","KGF","252.55","24.7","5886.62","0","0","4","0","0","0.03","5890.65"
"23","CB Pura","231.93","0","2935.17","0","0","155.65","0","0","2.2","3093.02"
"24","Chintamani","69.98","0","4701.44","0","0","6.92","0","0","1.04","4709.4"
"","Kolar Circle ","782.87","24.7","17895.52","1.8","0","175.97","0","0","3.27","18074.76"
"25","Tumkur","396.14","0","10994.86","0","0","0","0","0","0","10994.86"
"26","Tiptur","70.04","0","7071.686","0","0","0","0","0","0","7071.686"
"27","Madhugiri","250.1","0","13514.116","0","0","0","0","0","0","13514.116"
"28","Kunigal","248.61","0","971.578","0","0","0","0","0","0","971.578"
"","Tumkur Circle ","964.89","0","32552.24","0","0","0","0","0","0","32552.24"
"29","Davanagere","217.19","0","8048.4421","0.16","0","0.86","0","0","14.43","8063.7321"
"30","Harihara","507.27","0","7667.125","0","0","0.96","0","0","0","7668.085"
"31","Chitradurga","480.7","0","8398.43","0","0","6.89","0","0","0.03","8405.35"
"32","Hiriyur","329.37","0","7502.03","0","0","0.505","0","0","0","7502.535"
"","Davanagere Circle ","1534.53","0","31616.0271","0.16","0","9.215","0","0","14.46","31639.7021"
"","BESCOM ","4896.362","372.75","112133.3059","803.035","0.02","6924.455","15.645","0.05","924.697","119982.4579"
