Sl. No.,Divisions,Overhead(OH) Added for 2022-23,OH Dismantled in 2019-20,OH Cables Total,Underground(UG) Added for 2019-20,UG Dismantled in 2019-20,UG Total,Ariel Bundled(AB) Cables Added for 2019-20,AB Cables Dismantled in 2019-20,AB Cables Total,Total Cable Length (km)
1,Indiranagar,0,82.86,7.18,130.24,0,714.457,0,1.01,8.436,730.073
2,Whitefield,0.6,0,265.99,86.166,0,398.146,0,0,66.29,730.426
3,Shivajinagar,0,0,209.16,202.22,0,903.248,0,0,44.74,1157.148
4,Vidhana Soudha,0,0,0,22.598,0,364.973,0,0,0.2,365.173
,East Circle,0.6,82.86,482.33,441.224,0,2380.824,0,1.01,119.666,2982.82
5,Jayanagar,0,333.13,22.18,471.73,0,1276.435,2.11,36.99,1.97,1300.585
6,Koramangala,0,0,312.23,17.7,0.7,545.532,0,0,68.39,926.152
7,HSR,0,0,1216.44,38.71,0,903.498,0,0,61.33,2181.268
,South Circle,0,333.13,1550.85,528.14,0.7,2725.465,2.11,36.99,131.69,4408.005
8,Kengeri,10.06,247.74,756.164,277.93,0,576.976,0.03,0,177.442,1510.582
9,Rajarajeshwari nagar,0,3.74,2.676,77.37,0,589.12,1.34,5.72,1.95,593.746
10,Rajajinagar,1.45,46.96,90.266,132.398,0.64,617.295,0.9,4.08,35.69,743.251
,West Circle,11.51,298.44,849.106,487.698,0.64,1783.391,2.27,9.8,215.082,2847.579
11,Hebbala,1.77,24.91,607.43,350.26,1.04,748.408,0,2.77,37.58,1393.418
12,Malleshwaram,0,20.44,2.07,63.31,0,461.427,1.32,1.8,18.89,482.387
13,Peenya,0,0,22.43,9.33,0.08,698.22,0,0,0.6,721.25
14,Jalahalli,3.4,0,430.64,37.67,0,139.555,0,0,22.5,592.695
,North Circle,5.17,45.35,1062.57,460.57,1.12,2047.61,1.32,4.57,79.57,3189.75
15,Nelamangala,75.31,0,1628.29,54.22,0,121.55,0.26,0,16.37,1766.21
16,Hosakote,108.67,0,5685.375,39.99,0,634.178,0.31,0,33.8,6353.353
,Blore Rural Circle,183.98,0,7313.665,94.21,0,755.728,0.57,0,50.17,8119.563
17,Ramnagara,227.57,0,4881.038,2.14,0,121.53,0,23.2,34.52,5037.088
18,Magadi,89.81,0,3702.15,88,0,198.587,0,0,23.25,3923.987
19,Kanakpura,36.913,0,4702.492,0.06,0,107.69,0,0,14.85,4825.032
20,Chandapura,31.17,0,2374.0258,10.41,0,93.176,0,0,67.552,2534.7538
,Ramnagar Circle,385.463,0,15659.7058,100.61,0,520.983,0,23.2,140.172,16320.8608
21,Kolar,157.54,9.89,4586.75,108.08,0,108.08,72.7,0,72.7,4767.53
22,KGF,474.04,0,6683.62,27.21,0,34.13,32.38,0,90.8,6808.55
23,CB Pura,246.56,0,3697.66,5.2,4.63,30.25,19.29,0,36.38,3764.29
24,Chintamani,306.39,0,5094.51,14.27,1.06,26.7,0,3.46,3.06,5124.27
,Kolar Circle,1184.53,9.89,20062.54,154.76,5.69,199.16,124.37,3.46,202.94,20464.64
25,Tumkur,467.18,0,11857.624,0,0,198.73,106.93,0,106.93,12163.284
26,Tiptur,949.362,0,8447.399,0,0,8.67,141.29,0,141.29,8597.359
27,Madhugiri,148.234,0,13953.673,0,0,15.62,166.33,0,205.35,14174.643
28,Kunigal,234.48,0,4201.96,0,0,3.5,29.8,0,29.8,4235.26
,Tumkur Circle,1799.256,0,38460.656,0,0,226.52,444.35,0,483.37,39170.546
29,Davanagere,311.83,0,8363.8121,219.13,0,261.05,69.64,0,84.39,8709.2521
30,Harihara,208.74,0,7947.235,0,0,0,47.03,0,47.03,7994.265
31,Chitradurga,293.06,0,9077.7,0,0,3.13,118.92,0,118.95,9199.78
32,Hiriyur,409.16,0,8605.949,0,0,5.025,4.21,0,4.21,8615.184
,Davanagere Circle,1222.79,0,33994.6961,219.13,0,269.205,239.8,0,254.58,34518.4811
,BESCOM,4793.299,769.67,119436.1189,2486.342,8.15,10908.886,814.79,79.03,1677.24,132022.2449
