Sl. No.,Divisions,Overhead(OH) Added for 2019-20,OH Dismantled in 2019-20,OH Cables Total,Underground(UG) Added for 2019-20,UG Dismantled in 2019-20,UG Total,Ariel Bundled(AB) Cables Added for 2019-20,AB Cables Dismantled in 2019-20,AB Cables Total,Total Cable Length (km)
1,Indiranagar,0,501.35,161.04,4.5,66.89,130.805,138.97,63.2,283.68,575.525
2,Whitefield,0.87,0.39,497.475,12.765,0,120.03,23.08,0,187.64,805.145
3,Shivajinagar,0,0,743.96,12.199,0,197.333,0,0,141.44,1082.733
4,Vidhana Soudha,0,0,0,2.869,0,142.034,0,0,233.17,375.204
,East Circle,0.87,501.74,1402.475,32.333,66.89,590.202,162.05,63.2,845.93,2838.607
5,Jayanagar,0,191.14,1653.49,1.83,0,121.633,154.46,0.5,578.91,2354.033
6,Koramangala,0,0,1023.77,5.86,0,148.314,1.21,0,86.53,1258.614
7,HSR,0.15,0,2084.58,14.447,0,193.854,34,0,352.16,2630.594
,South Circle,0.15,191.14,4761.84,22.137,0,463.801,189.67,0.5,1017.6,6243.241
8,Kengeri,22.556,64.98,1746.612,1.596,0,111.02,34.69,0,111.399,1969.031
9,Rajarajeshwari nagar,0,77.06,199.434,9.35,4.09,22.077,50.24,0,408.271,629.782
10,Rajajinagar,2.01,131.95,669.865,0.2,0,16.37,134.44,0,194.898,881.133
,West Circle,24.566,273.99,2615.911,11.146,4.09,149.467,219.37,0,714.568,3479.946
11,Hebbala,9.735,56,1203.545,5.126,0,152.301,57.207,0,341.931,1697.777
12,Malleshwaram,0.1,98.04,142.69,25.56,0,50.163,114.57,0,266.5,459.353
13,Peenya,0.08,649.52,27.07,2.43,12.74,15.6,459.16,78.66,671.51,714.18
14,Jalahalli,44.436,9.65,1172.962,5.144,0,15.294,111.705,89.99,167.285,1355.541
,North Circle,54.351,813.21,2546.267,38.26,12.74,233.358,742.642,168.65,1447.226,4226.851
15,Nelamangala,89.915,0,1183.642,0,0,0,129.56,0,129.56,1313.202
16,Hosakote,142.61,0,10298.187,53.52,0,385.035,0.39,0,75.35,10758.572
,Blore Rural Circle,232.525,0,11481.829,53.52,0,385.035,129.95,0,204.91,12071.774
17,Ramnagara,69.506,0,4464.333,68.12,0,71.69,90.28,0,138.08,4674.103
18,Magadi,130.795,0,5890.114,0,0,0,0,0,0.22,5890.334
19,Kanakpura,67.418,0,3074.063,0,0,3.16,80.19,0,128.48,3205.703
20,Chandapura,85.947,0,4436.02,8.43,0,133.84,4.5,0,271.05,4840.91
,Ramnagar Circle,353.666,0,17864.53,76.55,0,208.69,174.97,0,537.83,18611.05
21,Kolar,64.68,0,5866.11,0,0,0,0,0,0,5866.11
22,KGF,116.47,0,4624.905,0.1,0,0.1,0,0,16.43,4641.435
23,CB Pura,9.27,0,19366.87,2.17,0,8.5,0,0,0,19375.37
24,Chintamani,31.1,0,7007.6,0,0,0,3.44,0.34,3.1,7010.7
,Kolar Circle,221.52,0,36865.485,2.27,0,8.6,3.44,0.34,19.53,36893.615
25,Tumkur,131.663,0,13785.088,0,0,0,0,0,0,13785.088
26,Tiptur,460.505,0,10109.716,0,0,0,0,0,0,10109.716
27,Madhugiri,364.006,0,23873.914,0,0,0,0,0,0,23873.914
28,Kunigal,302.205,0,2286.463,0,0,0,0,0,0,2286.463
,Tumkur Circle,1258.379,0,50055.181,0,0,0,0,0,0,50055.181
29,Davanagere,133.02,43.16,14109.22,6.12,0,6.63,30.17,0,30.17,14146.02
30,Harihara,145.4,0,7265.36,0,0,0,7.9,0,7.9,7273.26
31,Chitradurga,92.46,0,12293.26,0,0,1.3,39.73,0,86.28,12380.84
32,Hiriyur,40.805,0,11090.192,0,0,0,30,0,30,11120.192
,Davanagere Circle,411.685,43.16,44758.032,6.12,0,7.93,107.8,0,154.35,44920.312
,BESCOM,2557.712,1823.24,172351.55,242.336,83.72,2047.083,1729.892,232.69,4941.944,179340.577
