iter	RMSE
0	4683.001013
1	4597.657151
2	4509.757711
3	4439.730344
4	4389.208644
5	4314.429976
6	4247.664293
7	4183.991955
8	4107.708035
9	4036.614583
10	3978.107478
11	3903.564062
12	3851.95308
13	3791.702049
14	3733.451181
15	3678.618787
16	3627.740529
17	3572.378059
18	3525.484168
19	3468.056445
20	3413.906464
21	3362.152605
22	3319.254922
23	3277.629873
24	3227.454144
25	3185.069675
26	3142.356671
27	3104.041889
28	3076.542823
29	3037.350263
30	3009.011052
31	2965.042869
32	2923.41989
33	2883.488174
34	2853.10126
35	2814.822202
36	2773.317986
37	2742.47898
38	2707.620403
39	2669.056607
40	2641.506461
41	2612.647958
42	2583.238952
43	2552.640699
44	2528.514499
45	2500.991532
46	2474.272271
47	2446.734489
48	2421.062237
49	2396.31212
50	2372.226584
51	2352.792603
52	2330.634555
53	2317.955243
54	2293.85844
55	2273.132049
56	2257.214089
57	2236.860148
58	2215.102563
59	2194.987013
60	2173.5026
61	2152.862314
62	2132.864211
63	2115.659968
64	2101.992447
65	2084.128853
66	2067.803169
67	2050.731217
68	2033.036054
69	2022.469475
70	2008.898471
71	1995.391044
72	1979.57662
73	1964.000699
74	1951.570354
75	1939.554645
76	1923.479461
77	1909.11241
78	1896.329871
79	1886.68906
80	1874.765123
81	1858.775468
82	1841.253612
83	1830.33539
84	1820.963426
85	1807.68184
86	1792.97498
87	1780.844924
88	1772.436861
89	1757.749715
90	1744.869453
91	1744.284853
92	1733.665227
93	1725.336223
94	1715.006061
95	1704.989301
96	1695.58157
97	1689.242445
98	1677.316497
99	1669.139285
100	1663.383909
101	1655.408961
102	1645.139547
103	1636.37117
104	1627.265453
105	1616.754906
106	1607.874381
107	1599.950535
108	1587.631357
109	1574.664326
110	1564.716269
111	1563.377778
112	1560.706939
113	1551.977471
114	1542.442831
115	1542.178454
116	1533.070794
117	1524.316688
118	1519.373612
119	1513.129627
120	1506.950979
121	1499.305697
122	1488.882641
123	1482.778737
124	1472.209258
125	1465.714166
126	1456.816129
127	1450.139051
128	1446.276649
129	1439.295896
130	1432.395004
131	1426.309999
132	1419.524329
133	1410.566945
134	1406.062193
135	1404.420693
136	1397.247384
137	1390.441877
138	1389.588651
139	1382.596825
140	1381.883576
141	1374.714578
142	1369.37191
143	1362.779658
144	1357.377016
145	1354.292318
146	1348.722081
147	1340.791253
148	1332.022989
149	1330.126846
150	1324.717396
151	1319.840825
152	1315.347139
153	1306.494929
154	1302.490798
155	1298.554129
156	1296.139011
157	1291.140694
158	1283.19668
159	1282.561292
160	1279.288986
161	1274.76365
162	1270.132625
163	1265.051809
164	1261.854397
165	1257.778679
166	1255.636454
167	1252.662416
168	1249.037762
169	1244.988134
170	1241.727349
171	1239.7922
172	1235.742421
173	1231.805492
174	1228.377807
175	1221.135152
176	1218.343755
177	1211.813183
178	1207.114078
179	1204.743639
180	1202.101916
181	1198.528114
182	1194.816221
183	1187.839108
184	1183.988127
185	1181.006584
186	1172.376509
187	1168.959846
188	1166.010259
189	1163.446924
190	1160.954795
191	1156.992111
192	1155.169213
193	1149.43154
194	1146.599661
195	1143.004714
196	1139.436517
197	1138.252675
198	1135.215972
199	1132.038035
200	1129.562275
201	1125.265638
202	1120.10406
203	1115.832108
204	1113.659639
205	1110.372186
206	1108.382815
207	1102.858365
208	1100.641659
209	1095.516131
210	1089.637522
211	1088.1104
212	1085.756452
213	1083.655355
214	1080.851034
215	1074.800357
216	1072.913643
217	1069.906239
218	1066.568281
219	1063.760754
220	1061.832463
221	1056.663091
222	1053.883414
223	1051.729114
224	1049.446396
225	1047.982901
226	1045.556324
227	1043.416324
228	1041.83744
229	1039.869841
230	1038.32015
231	1032.931069
232	1031.37975
233	1027.982499
234	1026.181964
235	1024.168676
236	1022.447851
237	1019.444504
238	1015.217909
239	1013.408062
240	1008.071188
241	1002.191651
242	997.3966368
243	994.5575517
244	992.9932724
245	986.7946525
246	982.6122985
247	981.1422866
248	979.5520954
249	978.2483942
250	976.9050773
251	975.3601885
252	970.9960833
253	967.3448591
254	966.2316976
255	963.6490906
256	962.3266787
257	961.0060241
258	957.9663341
259	952.4493702
260	947.1079432
261	945.6794885
262	940.0389747
263	938.8154151
264	935.1209531
265	933.7968441
266	930.6477103
267	924.4450152
268	923.1230978
269	921.9670764
270	920.614009
271	917.1167493
272	916.1590782
273	915.1035327
274	913.16574
275	911.8805788
276	910.896705
277	905.5338115
278	904.4891604
279	899.1435282
280	898.3198318
281	894.9578211
282	894.0041768
283	891.7366268
284	890.7296361
285	889.8665263
286	889.0740137
287	886.9003506
288	884.6935476
289	884.0382452
290	881.9880528
291	878.739679
292	873.6919074
293	871.8470066
294	867.5348001
295	864.4863444
296	859.1630918
297	853.8578178
298	852.371918
299	850.9940986
300	849.9903433
301	848.8057824
302	844.5833572
303	842.0722005
304	841.3558933
305	834.8830796
306	833.9127506
307	832.3973093
308	831.6382368
309	828.9706653
310	828.0321433
311	825.4487974
312	822.4658635
313	821.5533712
314	820.7566005
315	814.3935553
316	809.408734
317	803.7675258
318	803.1995444
319	797.7217347
320	797.1336379
321	795.1494818
322	794.7230891
323	792.8892852
324	791.9852993
325	791.1108271
326	790.3891036
327	789.4088923
328	784.6640466
329	784.2453218
330	781.9296594
331	780.7195387
332	779.8964828
333	779.2968479
334	774.077542
335	772.4386575
336	768.3576284
337	763.2701441
338	762.7199981
339	761.7976535
340	759.6547253
341	755.6840813
342	754.8205104
343	749.5385515
344	747.0412014
345	742.116319
346	736.9903332
347	736.1899722
348	735.415696
349	731.191051
350	726.879501
351	722.3307853
352	720.9460071
353	719.4329414
354	714.3576598
355	713.5791179
356	707.9643817
357	706.6385007
358	701.1992174
359	697.2070529
360	693.8603769
361	692.009251
362	688.6686963
363	687.8217684
364	687.2303973
365	684.0350621
366	679.8142927
367	675.1206082
368	670.0226199
369	669.2768778
370	668.8559397
371	665.8897894
372	665.1325621
373	661.5053963
374	659.6758554
375	655.7329861
376	652.8701234
377	649.6312516
378	648.095177
379	646.4288533
380	642.7476683
381	638.4142059
382	637.6458514
383	634.1522563
384	633.4111233
385	630.0250883
386	626.4155816
387	622.4034408
388	619.5352397
389	616.7390761
390	612.8029466
