iter	Passed	Remaining
0	135	135067
1	136	67917
2	136	45463
3	137	34195
4	137	27445
5	138	22982
6	139	19781
7	140	17374
8	140	15514
9	141	14014
10	142	12784
11	142	11769
12	143	10903
13	144	10153
14	144	9509
15	145	8943
16	146	8449
17	146	8003
18	147	7604
19	147	7243
20	148	6919
21	148	6620
22	149	6350
23	150	6105
24	150	5884
25	151	5675
26	151	5476
27	152	5294
28	152	5122
29	153	4964
30	154	4822
31	154	4685
32	155	4555
33	155	4429
34	156	4314
35	157	4206
36	157	4105
37	158	4011
38	159	3919
39	159	3832
40	160	3752
41	161	3678
42	161	3602
43	162	3533
44	163	3468
45	164	3403
46	164	3342
47	165	3282
48	166	3224
49	166	3166
50	167	3116
51	168	3064
52	168	3015
53	169	2965
54	169	2918
55	170	2873
56	170	2828
57	171	2787
58	172	2747
59	172	2708
60	173	2671
61	174	2641
62	175	2611
63	176	2579
64	176	2544
65	177	2516
66	178	2488
67	179	2458
68	180	2429
69	180	2404
70	181	2376
71	182	2349
72	182	2323
73	183	2296
74	184	2270
75	184	2244
76	185	2220
77	185	2197
78	186	2175
79	187	2152
80	188	2137
81	189	2118
82	190	2101
83	191	2083
84	191	2063
85	192	2044
86	193	2026
87	193	2009
88	194	1991
89	195	1976
90	196	1959
91	196	1938
92	197	1921
93	197	1904
94	198	1889
95	198	1873
96	199	1858
97	200	1843
98	200	1828
99	201	1814
100	202	1798
101	202	1786
102	203	1773
103	204	1761
104	205	1748
105	205	1735
106	206	1723
107	207	1715
108	208	1703
109	208	1690
110	209	1678
111	209	1664
112	210	1651
113	210	1639
114	211	1628
115	211	1614
116	212	1604
117	213	1593
118	213	1582
119	214	1572
120	215	1562
121	216	1554
122	216	1545
123	217	1537
124	218	1530
125	219	1521
126	219	1511
127	220	1504
128	221	1495
129	221	1485
130	222	1476
131	223	1467
132	223	1460
133	224	1451
134	225	1442
135	225	1433
136	226	1424
137	226	1417
138	227	1408
139	228	1400
140	228	1392
141	229	1383
142	229	1377
143	230	1369
144	231	1362
145	231	1353
146	232	1346
147	232	1339
148	233	1332
149	234	1326
150	234	1320
151	235	1314
152	236	1307
153	236	1301
154	237	1294
155	238	1288
156	239	1283
157	239	1277
158	240	1271
159	240	1263
160	241	1257
161	242	1254
162	243	1248
163	243	1242
164	244	1237
165	245	1231
166	245	1225
167	246	1220
168	247	1215
169	247	1210
170	248	1204
171	249	1199
172	249	1193
173	250	1188
174	250	1182
175	251	1177
176	252	1172
177	252	1167
178	253	1161
179	253	1156
180	254	1151
181	255	1146
182	255	1141
183	256	1136
184	257	1132
185	257	1127
186	258	1123
187	258	1118
188	259	1114
189	260	1110
190	260	1105
191	261	1102
192	262	1097
193	263	1093
194	263	1088
195	264	1084
196	264	1079
197	265	1075
198	266	1070
199	266	1066
200	267	1062
201	267	1058
202	268	1054
203	269	1049
204	269	1046
205	270	1042
206	271	1038
207	271	1034
208	272	1030
209	273	1027
210	273	1024
211	274	1020
212	275	1016
213	275	1012
214	276	1008
215	276	1004
216	277	1001
217	277	997
218	278	993
219	279	989
220	279	986
221	280	982
222	280	978
223	281	974
224	281	971
225	282	968
226	283	964
227	284	962
228	284	958
229	285	955
230	286	952
231	286	949
232	287	946
233	288	943
234	288	940
235	289	937
236	289	933
237	290	930
238	291	928
239	292	925
240	292	922
241	293	919
242	294	916
243	294	912
244	295	909
245	295	906
246	296	904
247	297	901
248	298	898
249	298	896
250	299	894
251	300	891
252	300	887
253	301	885
254	301	882
255	302	879
256	303	876
257	303	873
258	304	870
259	304	867
260	305	864
261	305	861
262	306	859
263	307	856
264	307	853
265	308	850
266	309	848
267	309	845
268	310	842
269	310	840
270	311	838
271	312	836
272	313	834
273	313	831
274	314	829
275	315	827
276	316	824
277	316	822
278	317	819
279	317	817
280	318	814
281	318	811
282	319	809
283	319	806
284	320	804
285	321	801
286	321	799
287	322	796
288	322	794
289	323	791
290	323	789
291	324	787
292	325	784
293	326	783
294	326	780
295	327	779
296	328	776
297	328	774
298	329	772
299	329	769
300	330	767
301	331	765
302	331	762
303	332	760
304	332	758
305	333	755
306	333	753
307	334	751
308	334	748
309	335	746
310	335	744
311	336	742
312	337	740
313	337	738
314	338	736
315	339	734
316	340	733
317	340	730
318	341	728
319	341	726
320	342	724
321	343	722
322	343	720
323	344	718
324	344	716
325	345	713
